node1,node2,bwd,delay,pkloss
1,3,99999.82666,7.398963,0.0
1,7,99999.783139,37.056923,0.0
1,16,99999.826652,6.010532,0.0
2,4,99999.783394,15.530467,0.0
2,7,99999.783207,5.506396,0.0
2,12,99999.804905,2.807617,3.846154
2,13,99999.783394,2.590537,0.0
2,18,24999.783207,6.539464,0.0
2,23,24999.783207,1.135468,0.0
3,10,99999.826574,6.569982,0.0
3,11,24999.783384,8.31449,0.0
3,14,1549.826574,7.212043,0.0
3,21,99999.783394,9.758472,0.0
4,16,99999.826715,6.406069,0.0
5,8,24999.783384,11.216402,0.0
5,16,24999.826715,7.904649,0.0
6,7,1549.783207,6.621718,0.0
6,19,1549.783217,0.0,0.0
7,17,99999.826566,1.262069,0.0
7,19,24999.783031,3.494859,0.0
7,21,99999.826566,7.397532,0.0
8,9,24999.783374,3.655434,0.0
9,15,24999.783374,6.658912,0.0
9,16,99999.826707,6.157994,0.0
10,11,24999.783207,5.402565,0.0
10,12,99999.826433,1.695991,0.0
10,16,99999.826574,4.613638,0.0
10,17,99999.826574,1.931429,0.0
12,22,99999.826574,0.680566,0.0
13,14,1549.783207,3.759027,0.0
13,17,99999.826715,2.554417,0.0
13,19,24999.783217,6.753564,0.0
15,20,24999.783374,2.078652,0.0
17,20,99999.826707,1.420498,0.0
17,23,24999.826566,2.832055,0.0
18,21,24999.826566,7.03001,0.0
20,22,24999.783384,2.962112,0.0
